,track_id,track_name,artist_name,artist_id,track_popularity,album_name,album_id,track_length,release_date,playlist_id,playlist_name,genre
1235,5JCoSi02qi3jJeHdZXMmR8,favorite crime,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,85,SOUR,6s84u2TUpR3wdUv4NgKA2j,2.54,2021-05-21,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1236,39HJJEgUFZcnhH4ziSqomg,dear god,Nessa Barrett,7pwufEBGfggjoI8twqlsmQ,63,young forever,4uoeBpJ631QyWNHw9GqTEn,2.2,2022-10-14,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1237,4i7mcbkECX4kqRvfjbBGQz,not my job anymore,Thomas Day,5TwUXL3I6RaLckHy8le2Hq,64,not my job anymore,4q2D6dkCSdkkTQ8Jqvh6VI,3.13,2022-07-15,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1238,4Dhic5lCf3U1nefagM5zwy,I Tried,Daniel Seavey,21z8to3YxZXgKYJpBB54P2,60,I Tried,6DVwmuhAq0HAq0k4hntOZH,2.27,2023-01-13,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1239,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,83,Doo-Wops & Hooligans,1uyf3l2d4XYwiEqAb7t7fX,3.63,2010-10-05,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1240,2Pm4Sxl4S1iJK38YnFGAFC,Fashion,Billy Porter,3sjUEh7eXUEL5oZLAEZXD4,45,Fashion,7bW2kZXTYEGUrVvDl1xdlY,3.06,2023-05-19,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1241,38ziag7I4rieq2OzpfuCy2,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,73,Popular [From The Idol Vol. 1 (Music from the HBO Original Series)],3kThcZ8bpesgek9Q8K6iL6,3.59,2023-06-02,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1242,3l3iCfpZsxbxWJhYoiQNkD,The Feels,Labrinth,2feDdbD5araYcm6JhFHHw7,78,Ends & Begins,5kGUy2eONqGocT26fvKo9v,3.29,2023-04-28,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1243,4ztdjZ2t7BVo5DLIFQBdJh,Jericho,Iniko,2ih5M0aTrQ97JX1nZuxDQY,83,Jericho,3TF9WzclcGdnebpaHgMyxh,2.64,2023-04-15,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1244,5f2pD2WaRRe1rmsyzQDcpl,Favorite Song (with Khalid) [Remix],Toosii,6BH1xcDkwbbyrLMUKECsW1,69,Favorite Song (with Khalid) [Remix],6aq5eEl7b51s5OUYV8ve6b,3.73,2023-05-05,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1245,59vMO9rkUuefwLMKzohNo5,When Love Sucks (feat. Dido),Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,71,When Love Sucks (feat. Dido),0BmbK3Ayd0Q9BWOCQYOdQw,2.83,2023-05-18,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1246,2sITbbWIOeg2Lwp4WN2jqr,Fly Girl (feat. Missy Elliott),FLO,0s4kXsjYeH0S1xRyVGN4NO,75,Fly Girl (feat. Missy Elliott),0cfvGEzoMnxtDKCcugR6Tv,3.42,2023-03-23,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1247,7fcZk7OXeFWD7DWybltVVf,"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)",Jon Batiste,0eRbECAGCLLiTyVXPBRexU,71,Be Who You Are (Real Magic),1Pk1W5xbmAqG6wBNL4sjq5,3.16,2023-05-31,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1248,2MAz9mZH3n9nVGZWUC2VUh,Tears in the Moonlight,Kelechi,0c62xvYMgfzgFPOXg8uhEU,41,Tears in the Moonlight,5VMt4kmFV2RghvnTx9DCyu,2.99,2023-05-19,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1249,4jeQnCp9IL3pbLPn0UjLmh,Motion,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,66,Motion,2R9a1Kl1u7OT9WlUjVyvVd,2.47,2023-06-01,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1250,1iBWjQ9af9NnUd5xnQDB3k,Charm,Rema,46pWGuE3dSwY3bMMXGBvVS,79,Rave & Roses Ultra,0nayxjaX54Frd7GsZq6Pbs,3.41,2023-04-27,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1251,4jMbQ5H6KaSRPRCBuNnW16,Be The One (with Khalid),Bree Runway,58hqTaCiqGrMsNmmm3qL7w,74,Be The One (with Khalid),1K1Tr5tlgU8aCfijFih1zf,3.35,2023-04-20,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
1252,4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy (with Future),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,87,Double Fantasy,0Ct52rooGyvjv6qXrBPNzm,4.47,2023-04-21,37i9dQZF1DX1UnoGuyf388,Pop Frequency,Pop
